Account,Link,Tenemos datos?,Fecha ultima actualización data ,similar a ,Followers,1ra Categoría,2da Categoría,3ra Categoría,ER,% Male,% Female,M 13-17,M 18-24,M 25-34,M 35-44,M 45-54,M 55-64,"M ""+65""",F 13-17,F 18-24,F 25-34,F 35-44,F 45-54,F 55-64,"F ""+65""",Argentina,Other,CPM historico,Tiene Fee Plataforma?,REPRESENTANTE,Nombre Perfil
_rodrinoya,https://www.instagram.com/_rodrinoya,No,21/04/20,balfederico,303000,Actor/Actress,,,0.02,0.19,0.81,0.05,0.34,0.37,0.16,0.05,0.02,0.01,0.05,0.32,0.39,0.16,0.05,0.02,0.01,0.87,0.13,,,,
agustin_sullivan,https://www.instagram.com/agustin_sullivan,No,7/12/2020,ferdente,126000,Actor/Actress,,,0.01,0.16,0.84,0.03,0.28,0.42,0.18,0.06,0.02,0.01,0.04,0.31,0.43,0.16,0.04,0.01,0.01,0.84,0.16,,,,
ailinzeta,https://www.instagram.com/ailinzeta,No,27/03/2020,florjazminpe,20200,Actor/Actress,,,0.10,0.35,0.65,0.03,0.31,0.45,0.15,0.05,0.01,0.00,0.03,0.31,0.45,0.15,0.05,0.01,0.00,0.82,0.18,,,,
albertbaro_,https://www.instagram.com/albertbaro_,No,7/21/2019,mik3amigorena_,1100000,Actor/Actress,,,0.20,0.11,0.89,0.03,0.25,0.47,0.17,0.06,0.02,0.01,0.02,0.31,0.49,0.14,0.03,0.00,0.01,0.55,0.45,,,,
alfonsobenja,https://www.instagram.com/alfonsobenja,Si,4/18/2018,,389358,Actor/Actress,,,0.05,0.13,0.87,0.04,0.34,0.46,0.13,0.03,0.00,0.00,0.04,0.34,0.46,0.13,0.03,0.00,0.00,0.88,0.12,0,no,si,si
andreadelboca,https://www.instagram.com/andreadelboca,No,5/11/2021,sabrinagarciarena,77000,Actor/Actress,,,0.07,0.22,0.78,0.03,0.26,0.42,0.21,0.06,0.01,0.01,0.02,0.23,0.48,0.20,0.05,0.01,0.01,0.86,0.14,,,,
andreapietranera,https://www.instagram.com/andreapietranera,No,1/11/2022,candemolfese,134000,Actor/Actress,,,0.02,0.24,0.76,0.16,0.45,0.21,0.11,0.05,0.01,0.01,0.16,0.45,0.21,0.11,0.05,0.01,0.01,0.15,0.85,,,,
andrearincon_top,https://www.instagram.com/andrearincon_top,No,10/2/2020,holasoylaurita,953000,Actor/Actress,,,0.05,0.14,0.86,0.09,0.38,0.24,0.14,0.10,0.03,0.02,0.17,0.47,0.20,0.10,0.04,0.01,0.01,0.17,0.83,,,,
andrearincontop tw,https://www.instagram.com/andrearincontop tw,No,10/2/2020,andrearincon_top,777400,Actor/Actress,,,0.01,0.14,0.86,0.09,0.38,0.24,0.14,0.10,0.03,0.02,0.17,0.47,0.20,0.10,0.04,0.01,0.01,0.55,,,,,
antobosman CH,https://www.instagram.com/antobosman CH,No,28/11/2018,florivigna,316000,Actor/Actress,,,0.13,0.43,0.57,0.06,0.35,0.36,0.16,0.05,0.01,0.01,0.08,0.37,0.33,0.14,0.05,0.02,0.01,0.87,0.13,,,,
araceligonzalez67,https://www.instagram.com/araceligonzalez67,No,11/8/2019,eugeniatobal,1366878,Actor/Actress,Model,,0.01,0.20,0.80,0.02,0.14,0.37,0.31,0.11,0.03,0.02,0.01,0.12,0.43,0.31,0.09,0.03,0.01,0.90,0.10,0,,,
tipsdedeco TK,https://www.tiktok.com/@tipsdedeco,No,9/28/2022,,50000,,,,0.06,,,,,,,,,,,,,,,,,,,,,,
aruzzireal,https://www.instagram.com/aruzzireal,No,16/12/2019,petersoncarla,326000,Actor/Actress,,,0.01,0.18,0.82,0.03,0.27,0.45,0.18,0.05,0.01,0.01,0.02,0.25,0.47,0.19,0.05,0.01,0.01,0.91,0.09,,,,
b.lombardo,https://www.instagram.com/b.lombardo,No,16/12/2019,gabrielasari,316000,Actor/Actress,,,0.02,0.16,0.84,0.02,0.25,0.46,0.20,0.05,0.01,0.01,0.03,0.35,0.47,0.11,0.02,0.01,0.01,0.84,0.16,,,,
basnicar,https://www.instagram.com/basnicar,No,12/26/2018,stefroitman,858457,Actor/Actress,Model,,0.05,0.15,0.85,0.07,0.37,0.35,0.14,0.06,0.01,0.00,0.09,0.46,0.31,0.09,0.03,0.01,0.01,0.65,0.35,0,,,
bautilena,https://www.instagram.com/bautilena,Parcial,8/9/2020,ferdente,419000,Actor/Actress,,,0.02,0.08,0.92,0.03,0.28,0.42,0.18,0.06,0.02,0.01,0.07,0.30,0.39,0.17,0.05,0.01,0.01,0.65,0.35,,no,si,si
bebchavanne,https://www.instagram.com/bebchavanne,No,6/19/2019,candelivetrano,97200,Actor/Actress,,,0.04,0.15,0.85,0.03,0.28,0.41,0.16,0.06,0.01,0.05,0.04,0.36,0.42,0.10,0.03,0.00,0.05,0.82,0.18,,,,
belen_soto,https://www.instagram.com/belen_soto,No,3/27/2019,gimeaccardi,734000,Actor/Actress,Model,,0.04,0.21,0.79,0.04,0.26,0.40,0.18,0.06,0.01,0.05,0.03,0.28,0.43,0.16,0.05,0.01,0.04,0.67,0.33,0,,,
belen_soto CH,https://www.instagram.com/belen_soto CH,No,28/11/2018,m.klooster,943000,Actor/Actress,,,0.04,0.40,0.60,0.05,0.28,0.40,0.20,0.05,0.01,0.01,0.06,0.32,0.40,0.16,0.04,0.01,0.01,0.90,0.10,,,,
benjamadeo,https://www.instagram.com/benjamadeo,No,9/6/2020,nicovazquezok,578000,Actor/Actress,Music,,0.20,0.23,0.77,0.03,0.24,0.45,0.21,0.05,0.01,0.01,0.03,0.25,0.43,0.20,0.06,0.02,0.01,0.91,0.09,,,,
bianaristaran,https://www.instagram.com/bianaristaran,Parcial,10/13/2022,rango todos,195000,Actor/Actress,,,0.08,0.54,0.47,0.05,0.30,0.47,0.13,0.03,0.01,0.00,0.05,0.30,0.47,0.13,0.03,0.01,0.00,0.86,0.14,,,,
bianaristaran TK,https://www.tiktok.com/@bianaristaran,No,5/4/2022,Bianaristaran,174400,Actor/Actress,,,0.10,0.54,0.47,0.05,0.30,0.47,0.13,0.03,0.01,0.00,0.05,0.30,0.47,0.13,0.03,0.01,0.00,0.86,0.14,,,,
boyolmi,https://www.instagram.com/boyolmi,No,24/09/20,mexurtizberea,99200,Actor/Actress,,,0.08,0.30,0.70,"0,5%",0.07,0.37,0.38,0.13,0.04,0.01,0.05,0.10,0.44,0.31,0.10,0.04,-0.03,0.92,0.08,,,,
cachetesierra,https://www.instagram.com/cachetesierra,Si,1/4/2022,,1100000,Actor/Actress,,,0.02,0.12,0.88,0.04,0.33,0.42,0.13,0.06,0.01,0.01,0.05,0.41,0.42,0.08,0.02,0.01,0.01,0.79,0.21,,,,
cachetesierra TK,www.tiktok.com/@cachetesierra,No,21/01/2020,cachetesierra,24300,Actor/Actress,,,0.01,0.12,0.88,0.04,0.33,0.42,0.13,0.06,0.01,0.01,0.05,0.41,0.42,0.08,0.02,0.01,0.01,0.79,0.21,,,,
camateos,https://www.instagram.com/camateos,No,4/22/2019,lucia_celasco,198000,Actor/Actress,,,0.01,0.24,0.76,0.01,0.19,0.46,0.24,0.07,0.02,0.01,0.01,0.19,0.49,0.21,0.07,0.02,0.01,0.76,0.24,,,,
candemolfese,https://www.instagram.com/candemolfese,Si,5/3/2019,,5100000,Actor/Actress,Tele,,0.02,0.24,0.76,0.16,0.45,0.21,0.11,0.05,0.01,0.01,0.16,0.45,0.21,0.11,0.05,0.01,0.01,0.15,0.85,,,,
carmela.barsamian,https://www.instagram.com/carmela.barsamian,Si,8/7/2020,,383000,Actor/Actress,,,0.08,0.10,0.90,0.09,0.33,0.26,0.16,0.09,0.02,0.01,0.16,0.41,0.23,0.11,0.04,0.01,0.01,0.19,0.81,,,,
